"condition","use_duration_avg_daily","avg_session_length","avg_switch_velocity","total_observations","ID"
"non_school",143.095763259259,9.30222827999835,6.54171181307744,45,"229425"
"online",133.495,2.75801036682616,3.20885763490241,2,"229425"
"f2f",166.251388266667,6.41509221644546,3.27143244700901,25,"229425"
