"condition","use_duration_avg_daily","avg_session_length","avg_switch_velocity","total_observations","ID"
"non_school",68.6185455555556,2.84480943900611,2.09317965493507,33,"216915"
"online",74.2052848717949,2.35043952049682,1.60316219991689,65,"216915"
